complete_name,F1v,N1,N2,N3,N4,LSC,T1,T2,T3,T4,C1,C2,L1,L2,L3,density,clustering_coefficient,hubs,Cluster
default_SEX,-8.476002936611816e-13,0.04521180309508299,0.010011962672591967,0.03186639792361218,0.008892255277763272,-0.000131945323889604,0.0012268510812339928,0.000635941341805,0.000404689944785,0.0,-0.06062555909534709,-0.08786976795276075,-0.003427064410911451,0.0064562387941161925,0.09691766855789485,0.0,0.0,0.0,0
diabetes-w_Age,-0.0006586262841923001,-0.23103154305200346,-0.041377414528771195,-0.16866878503707133,-0.0010075176315584855,-0.0067054980716290125,-0.0017825311942960553,-0.021338706760701605,-0.021338706760701605,0.0,0.13618956360396992,0.3078180911046617,0.09592108538660038,-0.12074711307447877,-0.010591852024077086,-0.0937842297274537,-0.060641235938752314,0.0030718377377427775,2
diabetes_Race,0.0946202256204689,-0.01196704317274988,0.006798228268435125,0.005679487231649127,-0.049570255426974685,0.00014563736175066122,-0.1774999801921554,-0.0009464509374677999,-0.0007832450046222001,0.07142857142857151,0.009491508981034291,0.01492477171584411,0.0037528551611797356,-0.005802659904446894,-0.006469006504896291,0.0,0.0,0.0,0
diabetes_Sex,-0.028027993964230793,0.0004843255237431121,-0.0031043091606272055,0.006677391701064128,0.0028749239200809296,-1.7213623794809507e-05,0.004415572341524565,0.00011823902387559997,0.00014929096995999996,0.07142857142857151,-0.009052052878570888,-0.014156025208884426,-0.0035641285313698923,0.005499148538898491,0.005333129133049452,0.0,0.0,0.0,0
drugs_Gender,-0.21411748131714362,-0.15768215006990838,-0.026171400862723793,-0.097334702230988,0.03060206730563575,-0.009680537602606565,-0.001062696863468382,1.2383120231100608e-05,1.1257382028300247e-05,0.0,0.24312698022510187,0.3388321060689621,0.12833917054526967,-0.13239131560520817,-0.00795896909398347,-0.06429696693372888,0.005430865864766321,-1.1257382029894458e-06,2
dutch_Sex,0.006546987701921,0.054463610914782384,0.0331522361166971,0.027270888222643813,-0.018606920102662072,-1.8797353553590135e-05,-0.007429716018043403,1.1044879199999572e-06,3.4137223360799964e-05,0.125,-0.07260381329347881,-0.07321284492477687,-0.0689727567469357,0.0564783152188604,-0.14052408681555117,0.0,0.0,0.0,0
german_Sex,1.588903552190689e-07,-0.047826086956521685,-0.014049123340653058,-0.03576437587657788,0.002337540906965807,0.0007829854998152586,-0.005469845722300248,-0.014212248714352501,-0.0092099111734456,0.125,0.0844303475663466,0.17040287325379308,0.028487551218208784,-0.04576905095839179,-0.05035063113604488,0.041407413076138266,-0.0020580796059984086,0.0017953406861344057,2
heart_Sex,-0.0031652606307452,-0.1149034130717646,-0.03527754494498847,-0.00805725152637371,0.0061555399859873905,-0.048100529491656,-0.0054549094184765945,0.032729456510859706,0.032729456510859706,0.0,0.16845247962354118,0.3577184036661305,0.10340758730502264,-0.06686017415674111,-0.07201481333199877,-0.031943089102658195,0.09449189320386317,-0.005760249091852576,2
hrs_gender,1.147541509404587e-10,0.04777787566134628,0.011783104300258196,0.032361591061423486,-0.00027825102847600647,0.0033192189882369494,0.0,-0.0011875868638037005,-0.0010326842293945002,0.0,-0.11657092101198219,-0.09137060872177627,-0.02297723537363472,0.023600760049553693,0.11521260877248651,0.02333234967438047,0.007184535672789705,5.206654174738645e-05,0
hrs_race,-3.4424743009280207e-10,-0.0900463164218421,-0.025365970307087427,-0.06559698470416389,-0.01932515272658819,0.0005229632584879962,0.0,-0.0043631891414762005,-0.0037940775143271996,0.0,0.18621954681552727,0.16265853684475162,0.03499322928423376,-0.0360169824674228,-0.13575987699373804,-0.04163729094594237,-0.029765914989602293,0.00019109090134639128,2
insurance_sex,-1.5697182269000087e-05,0.001863637176209798,0.0033418379338015086,-0.0006256815459696995,-0.008500330717388538,0.025565574477943498,-0.007342819857344529,-0.00021898854108940054,-0.00018770446379090013,0.0,-0.08485853814412858,-0.047287917846469685,-0.015105849547410344,0.0100734728901125,-0.02104077656018155,0.010844320207425096,-0.0247279733338015,3.128407729846572e-05,0
lsat_gender,-0.1475228239775015,-0.07037731784512902,-0.018049778058323862,-0.05519957199908149,-0.00043728058442948914,-9.31305765073942e-05,0.031352345601272646,0.00012238743078719997,0.00012238743078719997,0.0,0.06366019806326939,0.1583901498607556,0.03397290520260099,-0.08064479474657277,0.014046999614136246,0.014728410716524643,0.030587233692497703,-2.4477486157636896e-05,2
lsat_race,0.05046158078839774,-0.04200523579065274,0.015616672648825103,-0.03526003640381331,-0.044546289431427355,0.0003588205189544169,-0.23447575445598995,-0.0012110974089708,-0.0012110974089708,0.0,0.019036999749651902,0.04788700113502859,0.07252500429334219,0.0029569819028257838,-0.05176019722802805,-0.03421512511711511,-0.0573714790892927,0.00024221948179403707,0
nursery_finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
obesity_Gender,6.455545530437458e-06,0.0358758766307217,0.06389638089375821,0.017537103069868304,-0.0024723410214699815,0.043575992062737545,0.00749692079531461,-0.0004713068396048001,0.0015360114334549996,0.09523809523809523,0.0003274561522901001,0.0008947709268602999,-0.0036630147564236104,0.0062401025563682995,0.001048545502206344,-0.002145028516516545,-0.023381481072734384,1.5494210633959504e-05,0
older-adults_sex,-0.0243632979173485,0.15476190476190477,0.02234319634886972,0.20238095238095238,0.0,0.0007086167800454124,0.0,0.16666666666666669,0.07142857142857151,-0.07142857142857151,0.018425924306500703,0.04364725888735929,-0.12697795880399187,0.0357142857142857,-0.2142857142857144,-0.02267945939053939,-0.024365942028985454,-0.012228260869565188,0
oulad_Sex,0.0018958632067535,-0.0038913172404261287,-0.0141229930310669,0.008629233612986509,-0.006743734539036317,5.718971849200116e-06,0.02230485750991673,-9.701618527750006e-05,-9.701618527750006e-05,0.0,0.0053677410111039,0.0147029661275693,-0.015975295542171697,0.0012541500301163633,-0.022768915824009306,-0.013114131978806953,-0.02245959629573696,1.077957614192826e-05,0
parkinson_sex,-1.7468550555003633e-09,-0.0371474512143363,-0.105680264444736,-0.025715574742320405,0.0622005854386567,-0.09821351935134537,-0.021864145303393978,0.0048639999059193,0.0011810872096193,-0.05882352941176472,-0.1979793210009098,-0.20233751635921782,0.017405429832525465,-0.0424985593889885,0.37752641476554116,0.1757608190678967,0.004734406819903399,-0.00028640468259621965,0
ricci_Race,0.0448637601252021,-0.10999999999999999,-0.033700613792101985,-0.12176470588235289,-0.0052941176470587825,-0.073987197231834,-0.031764705882352806,0.0158823529411765,0.0158823529411765,0.0,0.08791319572913099,0.19453426813564167,0.08694597408940297,-0.0776470588235294,0.004117647058823559,-0.08401868209970553,-0.058339748199569996,-0.005702280912364799,2
singles_sex,0.07954488788177749,0.05462061627097803,0.024376039303708463,0.0550383551002574,-0.027222815620397744,0.0030826651684563444,0.02034125115308061,-0.0003393495816543003,-0.00027764965771719975,0.0,-0.0924490062912738,-0.205593103601673,-0.008993314646131845,0.05255973766406108,0.07415420530497974,0.03242007889126719,0.02052832535471716,3.14232077620602e-05,0
student_sex,0.014946326520024499,0.009560454661457829,-0.0022357198940106127,-0.0034060346689177012,0.003759398496240629,0.00284057197965748,0.0,-0.042492000235575894,-0.0318420071065392,0.027027027027026973,0.0190530045068748,0.05029714360858659,0.0037449735366842374,0.03344195999136232,-0.059129547105361335,-0.0006720889396867324,-0.06374474412165021,0.002043518305318903,0
wine_color,-3.6019970259307474e-06,-0.055386777987008196,-0.010733571307365408,-0.038653833692041506,-0.006063722383203185,0.0012946139122199662,-0.04072977861316607,-0.0046311900179795,-0.0031637645999626,0.09090909090909094,0.07639686805119311,0.18644860517129658,0.041170594392382465,-0.01043033870417942,-0.11004463626676542,-0.16120039987171975,-0.09126911645513881,0.00042136685574878374,2
