complete_name,F1v,N1,N2,N3,N4,LSC,T1,C1,C2,L1,L2,L3,density,cls_coef
S1D0,0.0023384271966085043,0.0034144981854400958,0.023239296550576997,0.0013652711228712144,0.016683579511858504,0.002498525041928823,0.0031840321615336786,0.0002807452417295988,0.0007584393073558002,0.007381120856837509,0.010071125175940387,0.00402427287369278,0.0001305047605847376,0.0110663641254581
S1D1,0.002732038774675198,0.003270238258120395,0.0372256861171434,0.012994272982415206,0.01268422511102385,0.0057912101133843485,0.009864056343632799,0.0005391941453098004,0.0014599717875297992,0.0014920772650743874,0.006367249770031197,0.013854272432996861,0.003642591824969177,0.0134176707635692
S1D2,0.010290191702995895,0.034726428427215794,0.055071946763331506,0.009798054089392688,0.002586215184640417,0.012524223712958804,0.040192091373193684,0.005209866175296601,0.014190690392134699,0.02519906452749865,0.035864507321200306,0.025778027746531484,0.01049549100853675,0.032832704529870596
S1D3,0.0013966230243952008,0.061998788612961875,0.2231242874861101,0.017092671108419083,0.029392287502523762,0.07941457203466673,0.07107207752877054,0.0212365897179775,0.0555317507076305,0.02951702249173993,0.0390753078942056,0.14854027861901875,0.007059090607158813,0.10113045167560769
S1D4,0.033415333375787296,0.10240258429234811,0.2516960320613463,0.04769836462749849,0.09332727639814253,0.08371408288181481,0.13147587320815673,0.0213576984601066,0.0558592666160304,0.06683717106411702,0.0834696143751262,0.18333838077932563,0.03258993093020135,0.2393325731150102
S1D5,0.0504927344155351,0.13573591762568138,0.2801304641608769,0.002301635372501609,0.0037351100343225863,0.08954741621514806,0.16480920654149,0.074012458860286,0.1789361896929535,0.21708957414826235,0.19180294770845951,0.31399152029073285,0.052656676042318495,0.27954912540054655
S1D6,0.0107588381885486,0.030930749040985306,0.23468095357803237,0.06436503129416521,0.16696951342620636,0.38176963843737033,0.6648092065414899,0.2703801980274132,0.508347954398836,0.10586714873018077,0.05846961437512621,0.308944074298405,0.21428366331181392,0.2723077460901983
S1E0,0.0031986953062769982,0.00937878870977038,0.005610422323269998,0.0143368268020162,0.013044152581322077,0.001522648622824474,0.014392671736474627,0.0051732676597738,0.013944027214143801,0.003509355893389632,0.0009041598915680016,0.003070671324518437,0.0012967822157052833,0.011761479914772499
S1E1,0.002717432834285695,0.018834144184980195,0.007133938935315401,0.01835222160230071,0.012554349302304368,0.0011729548778727228,0.02162339064279717,0.0154539162670321,0.0414428725647066,0.001063143707345171,0.002513062054163101,0.015281150242435593,0.003792269110366342,0.012659441283788202
S1E10,0.012010735297484101,0.09588011196669341,0.0007847849799807998,0.0644948187621858,0.08308158108850494,0.03601639646647525,0.08529001622583368,0.04310489006331891,0.0545885159054853,0.03275563040950258,0.05680041888501271,0.09491862700988263,0.01755272563342214,0.032810782518689595
S1E11,0.0113608152647902,0.09040514819889492,0.0018933032804754005,0.05993273565652271,0.1331875284500138,0.045075093650400855,0.0776581018698812,0.011906259620035942,0.013199183344455467,0.025795543139850885,0.0523060217600827,0.18210841109920473,0.013523808813046045,0.034784305056244
S1E2,0.0032631146933540037,0.0211666702869866,0.007750007502898601,0.018037513794718907,0.0052571045177551845,0.001158255835323474,0.02236329602083642,0.0294058850217218,0.0777741510270576,0.0033451337006356052,0.003477427265473204,0.016166548476223452,0.007573532129601435,0.0138608719877138
S1E3,0.004641401077096395,0.03698006755876948,0.004238767638105101,0.02353271935108181,0.004358785142255184,0.003561732276927798,0.0347669920114142,0.0418389931513553,0.1084593263599036,0.00501156052180296,0.015208903858744877,0.002729641191095644,0.010827600912453605,0.015069990198261001
S1E4,0.004529806953997295,0.05270437695874802,0.006743321958811301,0.03446788558237021,0.024659058874442197,0.005772456642283652,0.04829674750060922,0.0550395336461817,0.1384026594672731,0.012650101912599854,0.0273479364636659,0.002716680045848907,0.013932488985494151,0.016654173074435202
S1E5,0.005687676091203998,0.0829754517109132,0.0035049306108440002,0.052805585901570196,0.0397525125320074,0.010036117790604648,0.07099723331553578,0.07264309945118749,0.1694431740233485,0.0204098678041309,0.039647503253387506,0.003956069558306297,0.018261786898873145,0.019723283404554
S1E6,0.009309201658625602,0.08688063677306529,0.006609716970739199,0.05297248064839011,0.046654642404202806,0.00785894132880427,0.07529493306028517,0.0821524036939463,0.17289173056224827,0.021682201206794538,0.04036108630558599,0.006400885582250049,0.022157918062354343,0.0226338249768553
S1E7,0.011704670568157202,0.10817043793989642,3.1508323043400593e-05,0.0764354338349337,0.0658262564080162,0.028027137631297605,0.09643924137136761,0.0847143066818963,0.15777694511377,0.027525323183020256,0.0471981304268045,0.015584057007277163,0.02348643689107588,0.025762685994775804
S1E8,0.012958781401296797,0.11254334432990507,0.003028020323251699,0.0743299677959545,0.07954778884262215,0.03997811971321252,0.09707009711378109,0.07364532760619802,0.12191863370574368,0.02972446199755585,0.05308961099802781,0.04745383302068573,0.02133188711673306,0.028407373896610105
S1E9,0.011528199401579106,0.11370844727840157,0.0037164391858243006,0.07820623030250949,0.0819893645802543,0.047306223913475054,0.10307322755038639,0.06673446670840333,0.09751751473994008,0.0348958403506473,0.059564223094752594,0.07707641047162928,0.020645470642677743,0.030601645048843502
