Dataset,Att,Measure,Acc,SP,EO,PP
S1D0,Y,mean,0.8532611730343834,0.0015437590774442,-0.0072536387365683,0.0121781717476919
S1D0,Y,std,0.0121865255715295,0.0323174276362074,0.0455324971798406,0.0301176777857159
S1D1,Y,mean,0.8555746694675591,0.006300457396007,-0.0015713173736184,0.0090430023508386
S1D1,Y,std,0.0217193825649742,0.0645019240752876,0.0824581370563884,0.0690695642814182
S1D2,Y,mean,0.8535863830359244,0.0299545388926138,-0.0070146459332633,0.033011635646943
S1D2,Y,std,0.0182994551851821,0.0572261913746918,0.0971725496107068,0.0861771749952879
S1D3,Y,mean,0.856490618762475,-0.1054133530747959,-0.1066710571148303,-0.0471512435587565
S1D3,Y,std,0.0158448182862115,0.2838140211855416,0.4231378692370025,0.2389437422984877
S1D4,Y,mean,0.857595991983968,-0.0243228028595523,-0.0507966595824544,-0.0627816919518718
S1D4,Y,std,0.0141663685333779,0.3306741579565785,0.3737674271457212,0.1977177180118175
S1D5,Y,mean,0.857316641314758,-0.0745452584052135,-0.1405488913367691,-0.0463629426771355
S1D5,Y,std,0.0100061202792951,0.3927015901338151,0.3958117383713945,0.2128076288546239
S1D6,Y,mean,0.8574917245407931,-0.2746349898213197,-0.0909714061887975,-0.146959264179492
S1D6,Y,std,0.0144643268066292,0.3482963761350501,0.3325036000056601,0.0242389662034992
S1E0,Y,mean,0.8556999999999999,-0.0199829644096267,-0.0145987600589276,0.0079065628527951
S1E0,Y,std,0.0112452459090744,0.0217060657147559,0.038950313478584,0.0440984309137894
S1E1,Y,mean,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
S1E1,Y,std,0.0101236796121217,0.0185352419305222,0.0274718184436202,0.0386619181404071
S1E10,Y,mean,0.9069000000000004,-0.6512309292489982,-0.169761170800462,0.0657137426072392
S1E10,Y,std,0.0114450377408241,0.0265481984131234,0.0543181561729292,0.0450073417889973
S1E11,Y,mean,0.9131,-0.7120970211777621,-0.1880439301469014,0.079063299000323
S1E11,Y,std,0.0097917198580115,0.0248872286928378,0.0625309119307725,0.0305636215538596
S1E2,Y,mean,0.8581,-0.0994466890741144,-0.043098526151993,0.0240860509383709
S1E2,Y,std,0.0114353253852554,0.0206067338142458,0.0291196642674496,0.0452039528950006
S1E3,Y,mean,0.8619999999999999,-0.1472210995481515,-0.0482990414403237,0.0142401521162691
S1E3,Y,std,0.0118977121983831,0.0173781096558969,0.0351109926892175,0.0404704561251547
S1E4,Y,mean,0.8642,-0.1971672267819662,-0.0636703288272863,0.0149307349158592
S1E4,Y,std,0.0096930673966271,0.0188676973827985,0.0340184520345823,0.03555639522083
S1E5,Y,mean,0.8719999999999999,-0.2881717141016037,-0.0812899250675255,0.007297285466247
S1E5,Y,std,0.0089690826980491,0.0238539409160473,0.0446434155227529,0.0239871275336014
S1E6,Y,mean,0.8766,-0.374218044469866,-0.108160788537542,0.0267120979084565
S1E6,Y,std,0.0106060779220637,0.0259920120780695,0.0450998528493266,0.0390900038677871
S1E7,Y,mean,0.8823000000000001,-0.4535420621849626,-0.1285920774512595,0.0411952344677001
S1E7,Y,std,0.0102853725692795,0.0297118744865711,0.0522423275128916,0.0432169798034896
S1E8,Y,mean,0.8901,-0.5187454009940222,-0.1438488249737111,0.0565057925247343
S1E8,Y,std,0.0083592928993891,0.024090629728754,0.0393448272472247,0.0380041733030905
S1E9,Y,mean,0.8993000000000002,-0.5839038300827217,-0.1484428788813588,0.0506636277244403
S1E9,Y,std,0.012347289401142,0.0239340069860248,0.0502038571114769,0.0269503117115763
S1F0,Y,mean,0.8432855637513171,-0.0689492078251296,-0.0605408804202967,0.0507905639122014
S1F0,Y,std,0.0123176611641897,0.0323816363125868,0.0461954996586395,0.0476939607821213
S1F1,Y,mean,0.832294791875014,-0.2040879612972453,-0.1791087335915474,0.1271405906196248
S1F1,Y,std,0.0134715791143873,0.0464473057326879,0.0673422054024266,0.0375777101549326
S1F2,Y,mean,0.8444356749636693,-0.3320254173812675,-0.303628713516242,0.1608802452091347
S1F2,Y,std,0.0076137824326607,0.0429794561534301,0.0648191380457998,0.0694137801074203
S1F3,Y,mean,0.8583521946971256,-0.4452057768213757,-0.5321496083237877,0.2650793463183426
S1F3,Y,std,0.0174140474154307,0.0337375475378568,0.1053189539676224,0.1493624041778172
S2A0,Y,mean,0.8555999999999999,-0.0201821675968777,-0.0145987600589276,0.0075161880930257
S2A0,Y,std,0.0111375241613405,0.0215358166377634,0.038950313478584,0.0444435397534173
S2A1,Y,mean,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
S2A1,Y,std,0.0101236796121217,0.0185352419305222,0.0274718184436202,0.0386619181404071
S2A10,Y,mean,0.9066,-0.6526476126724601,-0.1730745771663015,0.064515705460375
S2A10,Y,std,0.011587349423689,0.0269393164447388,0.0536085577702342,0.0455584720179178
S2A11,Y,mean,0.9132,-0.7122916471898892,-0.1891428312458025,0.0784566657322836
S2A11,Y,std,0.0099977775308093,0.0251994720509387,0.0638393659569246,0.0305920063534518
S2A2,Y,mean,0.858,-0.100436876411076,-0.0450039112284812,0.0239556298905033
S2A2,Y,std,0.0118321595661992,0.02059626055658,0.0289914218506599,0.0451394981271802
S2A3,Y,mean,0.8622,-0.1492252147945161,-0.0504952533148289,0.0123940800708106
S2A3,Y,std,0.0119981480052363,0.0169816841535122,0.0329049787114682,0.0397111806236386
S2A4,Y,mean,0.8641,-0.1973606503796451,-0.0642138070881558,0.0150137858759283
S2A4,Y,std,0.0095736908011255,0.0189766099556626,0.0338368810292366,0.035623984045869
S2A5,Y,mean,0.8717,-0.289180673710836,-0.0833735231548478,0.0072499804707025
S2A5,Y,std,0.0092981479637374,0.0230460002516134,0.0438105740392782,0.0239199669242929
S2A6,Y,mean,0.8764999999999998,-0.3748259375696842,-0.1089544393311928,0.0258775258847095
S2A6,Y,std,0.0108243552540863,0.0261172559244461,0.0456083000243569,0.0392781718255788
S2A7,Y,mean,0.8821999999999999,-0.4545610341760419,-0.1300556177481735,0.0408648131701917
S2A7,Y,std,0.0097045235729415,0.0289521079182531,0.0500557679990492,0.0429229410045825
S2A8,Y,mean,0.8901999999999999,-0.5197510241914514,-0.1444157657420523,0.0553242788662685
S2A8,Y,std,0.0084037028875503,0.0240457600142146,0.0390805041727637,0.0386566680390299
S2A9,Y,mean,0.8995,-0.5850852858176581,-0.1492975797360596,0.0473311792238835
S2A9,Y,std,0.0127126358836832,0.0238770589032919,0.0513315986851001,0.0268077859083245
S2B0_0,Y,mean,0.8067,-0.0217404339558804,0.0017656039960943,-0.0129151125465035
S2B0_0,Y,std,0.0087565848238783,0.0275165890242647,0.028203294987667,0.0515415455660176
S2B0_1,Y,mean,0.8068,-0.0215428054973823,0.0021929544234447,-0.0130093691758865
S2B0_1,Y,std,0.0086641021846851,0.0278379441955858,0.02826288198381,0.0514352743785571
S2B0_2,Y,mean,0.8068000000000002,-0.0219470455261283,0.0012754079176629,-0.0128002682539978
S2B0_2,Y,std,0.0086641021846851,0.0273385161138248,0.0286120054684667,0.0514798621092742
S2B0_3,Y,mean,0.8064,-0.0227584987009098,0.0007827970802245,-0.0137790826463016
S2B0_3,Y,std,0.0087457926392573,0.0279076587947885,0.0294107093946386,0.0524429729777474
S2B0_4,Y,mean,0.8065,-0.0229581325309057,0.0008329300415567,-0.0142315945589103
S2B0_4,Y,std,0.0090338868219117,0.0278240415949896,0.027431741748871,0.0518409261108597
S2B1_0,Y,mean,0.8112,-0.1627990304408881,-0.0674905694886928,0.0019992726511364
S2B1_0,Y,std,0.0134478416277276,0.0165990725826495,0.0252068825503567,0.0407801935967343
S2B1_1,Y,mean,0.8112,-0.1627990304408881,-0.0674905694886928,0.0019992726511364
S2B1_1,Y,std,0.0134478416277276,0.0165990725826495,0.0252068825503567,0.0407801935967343
S2B1_2,Y,mean,0.8114000000000001,-0.1631885236067431,-0.0674905694886928,0.0010597531356415
