complete_name,Acc_KN,SP_KN,EO_KN,PP_KN,Acc_DT,SP_DT,EO_DT,PP_DT,Acc_LR,SP_LR,EO_LR,PP_LR
S1B7,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7379999999999999,-0.0074856676295438,-0.0017692255875828,0.0032103959790043,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B8,0.7924,0.0080842877782658,0.028753104501109,7.154114732935146e-06,0.7375,-0.0076338071188616,-0.0022691849364116,0.0031664486145936,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B9,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7375999999999999,-0.007045295294313,-0.0031009868895336,0.0050362011965288,0.8070999999999999,-0.0127336406209608,0.0041856900644697,-0.0135908693322123
S1C,0.6072,0.0956821317164749,0.0847516693566844,0.0315400128775033,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304
S1D0,0.8445657854233332,0.0199226102515344,0.0244090522758272,0.0171315229563656,0.8017696454266263,-0.0020050613146483,0.0021919663359214,-0.0025744100716685,0.8532611730343834,0.0015437590774442,-0.0072536387365683,0.0121781717476919
S1D1,0.845834788808552,0.0163233835624426,0.0132693104459648,0.0162096009484891,0.8003720433915044,-0.0036756623142144,0.0036964545244272,-0.0109489488550734,0.8555746694675591,0.006300457396007,-0.0015713173736184,0.0090430023508386
S1D2,0.8433252680041671,-0.0030941955660263,-0.0443435375683569,0.0062612816386159,0.7987982659542292,0.0139719633752354,-0.0152256031025793,0.0171100781596714,0.8535863830359244,0.0299545388926138,-0.0070146459332633,0.033011635646943
S1D3,0.8445017964071857,-0.0699647358923161,-0.0623323200651587,-0.0398710035928555,0.7919401197604791,-0.0172618363263621,0.0995244940237853,0.0480735546098075,0.856490618762475,-0.1054133530747959,-0.1066710571148303,-0.0471512435587565
S1D4,0.8465791583166332,-0.0988400985846994,-0.1107967396712508,-0.0349390252824933,0.7965090180360722,-0.0240522452450452,0.0778425189213871,-0.079555583673097,0.857595991983968,-0.0243228028595523,-0.0507966595824544,-0.0627816919518718
S1D5,0.8432692694626199,-0.0487206177935615,-0.0898367746773871,-0.0414193586496369,0.8043387980780838,0.0255449508546606,0.0714547553601521,-0.0351831916999421,0.857316641314758,-0.0745452584052135,-0.1405488913367691,-0.0463629426771355
S1D6,0.8438084150061661,-0.2486079288081082,-0.0417156286721503,-0.1415337877963765,0.7985189361978321,-0.2638574928635028,0.2034534534534534,-0.2269511695589773,0.8574917245407931,-0.2746349898213197,-0.0909714061887975,-0.146959264179492
S1E0,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671,0.7999,-0.0186222941618568,0.0103182201952117,-0.0137566223904858,0.8556999999999999,-0.0199829644096267,-0.0145987600589276,0.0079065628527951
S1E1,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528,0.7988999999999999,-0.04646601245263,0.0054170011639081,7.09304222271695e-05,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
