Dataset,Att,Measure,Acc,SP,EO,PP
S2B3_1,Y,mean,0.8369,-0.544591470629719,-0.2426291888639649,0.0573320267463124
S2B3_1,Y,std,0.0127231198130717,0.0233895341673898,0.0440535793098297,0.0548476469029527
S2B3_2,Y,mean,0.837,-0.544798082199967,-0.2429198865383835,0.0573678415753174
S2B3_2,Y,std,0.0129271462864435,0.0234531042974331,0.0441354325121687,0.0548354982234033
S2B3_3,Y,mean,0.837,-0.5460035265903684,-0.2446171681096811,0.0572348871943646
S2B3_3,Y,std,0.0127366487830285,0.0232702382012583,0.04236372342899,0.0549960595772205
S2B3_4,Y,mean,0.8363999999999999,-0.547185673966498,-0.2488247410432859,0.0581904225154593
S2B3_4,Y,std,0.0124382921299956,0.0237524515534525,0.045782296093681,0.0548808427968367
S2B4_0,Y,mean,0.8795000000000002,-0.7309575674553022,-0.3188131391359958,0.0982966686203132
S2B4_0,Y,std,0.0111280426550824,0.0190375866105818,0.0407406890385332,0.0581430941391482
S2B4_1,Y,mean,0.8798,-0.7315715192388446,-0.3195401760792941,0.0983590457923036
S2B4_1,Y,std,0.0113998050665595,0.0188547824493805,0.0403361165598447,0.058070887691208
S2B4_2,Y,mean,0.8800000000000001,-0.73195613462346,-0.3200129893180647,0.0984096658884818
S2B4_2,Y,std,0.0113431330181157,0.0188031106122697,0.0403573681498947,0.0581271414981749
S2B4_3,Y,mean,0.8794000000000001,-0.733137436676498,-0.3245994416152104,0.0991423288914378
S2B4_3,Y,std,0.0111674129103884,0.0191932857419893,0.0412600451501975,0.0579156057789649
S2B4_4,Y,mean,0.8793,-0.7333611195375073,-0.3258915306526437,0.0993707903646206
S2B4_4,Y,std,0.0112155645818161,0.0187440686598959,0.0428138696768966,0.0574660597065464
S2C0,Y,mean,0.6065000000000002,0.0956821317164749,0.0872170018481094,0.0419462819103431
S2C0,Y,std,0.0281671597589975,0.2343284638561605,0.2366922526106309,0.103132355902561
S2C1,Y,mean,0.6023999999999999,0.0825038371428315,0.0689965583242033,0.0846915557312848
S2C1,Y,std,0.0307795025589722,0.242522645914274,0.2464762008302049,0.0962681723672952
S2C10,Y,mean,0.7078,-0.503978005501407,-0.5521664399764934,0.1216440185022226
S2C10,Y,std,0.077704282736253,0.2989266410983111,0.3014101381926793,0.4031006857066193
S2C11,Y,mean,0.8236000000000001,-0.8900947666938451,-0.923680142243007,-0.1387102877383233
S2C11,Y,std,0.0060955357070199,0.0420605946180844,0.0313602061590353,0.0200009314609808
S2C2,Y,mean,0.5916,-0.0701240263360347,-0.0593046647674178,0.080242841875956
