Dataset,Att,Measure,Acc,SP,EO,PP
S1F2,Y,std,0.0153486176955702,0.0357008596755547,0.059150567196256,0.0740468954775243
S1F3,Y,mean,0.8003684545484997,-0.3757286267147891,-0.4239698347372574,0.4375089501553503
S1F3,Y,std,0.0112670170442394,0.0426644625791111,0.0910761255821333,0.0978379459739954
S2A0,Y,mean,0.8027999999999998,-0.0136054908456132,0.0073803542725818,-0.0007630558862466
S2A0,Y,std,0.0141484196212077,0.0301762578198955,0.0252338580080214,0.0393943905895683
S2A1,Y,mean,0.7986000000000001,-0.0468322352178347,-0.0029009783696051,0.0074298274560801
S2A1,Y,std,0.0102653678832167,0.0346762168765782,0.0307679209065407,0.0569013810366464
S2A10,Y,mean,0.8674999999999999,-0.6072937831792444,-0.159983585599243,0.1705974526918222
S2A10,Y,std,0.0114915427839588,0.0402153170551233,0.059747721996882,0.0259772147441321
S2A11,Y,mean,0.8791,-0.6618161246811849,-0.1722050703514749,0.1754486506717452
S2A11,Y,std,0.0111997023769979,0.0327132304280783,0.0650942067452503,0.0441758768464825
S2A2,Y,mean,0.8029,-0.0962939503838585,-0.0341728495765968,0.0288914992570797
S2A2,Y,std,0.0104610388266812,0.0366539718680124,0.0187270890661128,0.0552180632811746
S2A3,Y,mean,0.8082,-0.1298093283866782,-0.034700668686831,0.0421964343871061
S2A3,Y,std,0.0091627264258819,0.0298119355154436,0.029869084400369,0.0475382703694201
S2A4,Y,mean,0.8177,-0.180737336965777,-0.043806379438554,0.0399987217091579
S2A4,Y,std,0.0092502252224832,0.0319570221342615,0.0474359163779365,0.0486070971798353
S2A5,Y,mean,0.8173999999999999,-0.2659669928512988,-0.0588563220977867,0.0481328375165462
S2A5,Y,std,0.0135499077487634,0.0369987258825951,0.0506893224340268,0.0292408639219037
S2A6,Y,mean,0.8291999999999999,-0.3443374290633685,-0.0906898150666623,0.0906204358342039
S2A6,Y,std,0.0150539769570111,0.0264996050374628,0.044336027103774,0.0377768644745762
S2A7,Y,mean,0.8401,-0.4243731466729046,-0.0864696035145338,0.0814285448533511
S2A7,Y,std,0.0136255478992793,0.0285084865848426,0.0402118895389675,0.0364957457597927
S2A8,Y,mean,0.8417999999999999,-0.4875358575964966,-0.1202958378254045,0.1208098259081195
S2A8,Y,std,0.0133981756635413,0.037445151755103,0.0462246548163902,0.0255208782916725
S2A9,Y,mean,0.852,-0.549299499412107,-0.1398500482457742,0.1369991422492383
S2A9,Y,std,0.0162069943748576,0.0329662109833965,0.0496660992094057,0.0388675633478664
S2B0_0,Y,mean,0.7329999999999999,-0.0198634061812787,0.0004132552876777,-0.0049107288130958
S2B0_0,Y,std,0.0045946829173634,0.0278257079730715,0.0285684678733764,0.0414107513828259
S2B0_1,Y,mean,0.7365,-0.0158514586176818,-0.0073762435603469,0.0089386969630938
S2B0_1,Y,std,0.0081819584724223,0.0287269282876669,0.0303879641322091,0.0521430425293718
S2B0_2,Y,mean,0.7374999999999999,-0.0177937775422629,-0.0091062349234701,0.0073920283884246
S2B0_2,Y,std,0.0073974470070573,0.0286608357355514,0.0337816990109053,0.0530575188386795
S2B0_3,Y,mean,0.7381,-0.0166423897529374,-0.0050295764235846,0.0052714287620022
S2B0_3,Y,std,0.0069833134446813,0.0286721906750845,0.034041259515755,0.0552910701465196
S2B0_4,Y,mean,0.7379,-0.0174294243358461,-0.0110720740015264,0.0099172174919385
S2B0_4,Y,std,0.0080339557158628,0.0295453196222658,0.0358069220843082,0.0543778719919364
S2B1_0,Y,mean,0.7421,-0.1332765817787705,-0.0573387491269543,0.0569191004198623
S2B1_0,Y,std,0.0123418889243998,0.029116704045219,0.0285416384127034,0.0596196449394577
